id,soil_type,fertilizer_type,climate,humidity_level,pest_disease_management,plant_time,crop_harvested,water_temperature,harvest_colour,seed_supplier,season,distance_to_retailer,harvest_yield
1,Clay,Organic,Temperate,72,Chemical Control - Organic Pesticides,Early Summer,Corn,30C,Well-Done,GreenFields,Autumn,134km,69%
2,Sandy,Compost,Tropical,75,Chemical Control - Organic Pesticides,Late Summer,Tomato,26C,Well-Done,GreenFields,Spring,132km,76%
3,Loamy,Organic,Temperate,73,Integrated Pest Management,Autumn,Tomato,29C,Rare,GreenFields,Summer,129km,37%
4,Loamy,Chemical,Tropical,67,Integrated Pest Management,Winter,Carrot,28C,Well-Done,CropLife Solutions,Spring,131km,71%
5,Saline,Organic,Arid,83,Biological Control - Predatory Insects,Late Summer,Carrot,20C,Medium-Well,AgriSeeds Co.,Winter,132km,27%
6,Sandy,Organic,Tropical,63,Biological Control - Predatory Insects,Late Summer,Carrot,24C,Well-Done,CropLife Solutions,Winter,131km,37%
7,Saline,Compost,Arid,83,Biological Control - Predatory Insects,Winter,Wheat,21C,Medium-Rare,CropLife Solutions,Winter,129km,85%
8,Saline,Compost,Arid,70,Biological Control - Predatory Insects,Late Spring,Tomato,23C,Rare,FarmGrow Inc.,Summer,128km,34%
9,Saline,Chemical,Temperate,67,Chemical Control - Synthetic Pesticides,Late Spring,Lettuce,29C,Rare,CropLife Solutions,Summer,130km,55%
10,Clay,Compost,Temperate,81,Biological Control - Predatory Insects,Early Spring,Potato,27C,Medium-Rare,GreenFields,Summer,129km,91%
11,Clay,Compost,Temperate,65,Chemical Control - Organic Pesticides,Autumn,Wheat,24C,Medium-Well,CropLife Solutions,Autumn,128km,41%
12,Clay,Chemical,Arid,69,Integrated Pest Management,Late Spring,Carrot,27C,Overdone,FarmGrow Inc.,Winter,131km,50%
13,Sandy,Compost,Arid,76,Chemical Control - Synthetic Pesticides,Winter,Carrot,33C,Medium-Well,CropLife Solutions,Winter,131km,36%
14,Loamy,Compost,Tropical,85,Biological Control - Predatory Insects,Winter,Wheat,20C,Overdone,FarmGrow Inc.,Autumn,131km,59%
15,Loamy,Chemical,Tropical,82,Biological Control - Predatory Insects,Early Summer,Carrot,29C,Overdone,CropLife Solutions,Spring,132km,81%
16,Saline,Compost,Temperate,73,Integrated Pest Management,Early Summer,Corn,23C,Medium-Well,GreenFields,Summer,132km,80%
17,Saline,Organic,Temperate,71,Chemical Control - Synthetic Pesticides,Early Spring,Tomato,34C,Rare,GreenFields,Summer,129km,59%
18,Sandy,Organic,Arid,79,Chemical Control - Organic Pesticides,Late Summer,Lettuce,32C,Well-Done,GreenFields,Autumn,129km,63%
19,Loamy,Organic,Tropical,74,Biological Control - Predatory Insects,Late Summer,Tomato,22C,Medium-Well,CropLife Solutions,Spring,132km,25%
20,Clay,Chemical,Arid,69,Chemical Control - Synthetic Pesticides,Late Summer,Lettuce,34C,Medium-Rare,CropLife Solutions,Autumn,128km,87%
21,Saline,Compost,Tropical,63,Biological Control - Predatory Insects,Autumn,Corn,28C,Medium-Well,GreenFields,Spring,134km,63%
22,Clay,Chemical,Temperate,81,Chemical Control - Organic Pesticides,Late Summer,Lettuce,30C,Medium-Rare,FarmGrow Inc.,Summer,130km,47%
23,Sandy,Organic,Arid,61,Chemical Control - Organic Pesticides,Winter,Tomato,31C,Well-Done,AgriSeeds Co.,Autumn,128km,28%
24,Clay,Compost,Temperate,74,Integrated Pest Management,Late Summer,Carrot,30C,Medium-Rare,FarmGrow Inc.,Autumn,133km,95%
25,Loamy,Compost,Arid,71,Chemical Control - Synthetic Pesticides,Late Summer,Lettuce,21C,Medium,GreenFields,Summer,133km,77%
26,Sandy,Chemical,Arid,78,Biological Control - Predatory Insects,Late Spring,Lettuce,23C,Rare,CropLife Solutions,Spring,131km,61%
27,Loamy,Compost,Temperate,69,Integrated Pest Management,Early Spring,Tomato,32C,Medium-Rare,CropLife Solutions,Autumn,130km,74%
28,Loamy,Chemical,Arid,67,Chemical Control - Synthetic Pesticides,Late Summer,Wheat,34C,Well-Done,FarmGrow Inc.,Autumn,131km,53%
29,Clay,Organic,Arid,77,Biological Control - Predatory Insects,Autumn,Corn,21C,Medium,CropLife Solutions,Winter,129km,95%
30,Saline,Organic,Tropical,68,Chemical Control - Synthetic Pesticides,Early Summer,Corn,26C,Medium,GreenFields,Summer,130km,93%
31,Clay,Compost,Tropical,74,Integrated Pest Management,Late Summer,Corn,27C,Well-Done,GreenFields,Spring,134km,91%
32,Saline,Chemical,Temperate,67,Chemical Control - Organic Pesticides,Late Summer,Corn,20C,Medium,FarmGrow Inc.,Winter,131km,64%
33,Loamy,Chemical,Tropical,71,Integrated Pest Management,Autumn,Wheat,21C,Medium-Rare,CropLife Solutions,Summer,132km,76%
34,Saline,Compost,Tropical,81,Integrated Pest Management,Late Spring,Tomato,34C,Rare,CropLife Solutions,Summer,131km,56%
