id,soil_type,fertilizer_type,climate,humidity_level,pest_disease_management,plant_time,crop_harvested,water_temperature,harvest_colour,seed_supplier,season,distance_to_retailer,harvest_yield
1,Sandy,Chemical,Arid,75,Integrated Pest Management,Early Spring,Corn,23C,Overdone,FarmGrow Inc.,Spring,128km,68%
2,Saline,Compost,Tropical,85,Biological Control - Predatory Insects,Winter,Corn,30C,Well-Done,FarmGrow Inc.,Spring,131km,88%
3,Sandy,Organic,Temperate,68,Chemical Control - Synthetic Pesticides,Late Spring,Lettuce,34C,Medium,AgriSeeds Co.,Winter,130km,73%
4,Saline,Compost,Arid,63,Integrated Pest Management,Late Summer,Wheat,20C,Well-Done,AgriSeeds Co.,Winter,133km,29%
5,Saline,Organic,Arid,63,Biological Control - Predatory Insects,Autumn,Carrot,20C,Medium-Well,AgriSeeds Co.,Autumn,130km,87%
6,Loamy,Chemical,Tropical,60,Biological Control - Predatory Insects,Late Spring,Tomato,26C,Medium-Well,GreenFields,Spring,129km,43%
7,Saline,Compost,Arid,77,Integrated Pest Management,Early Spring,Carrot,25C,Medium-Rare,GreenFields,Winter,129km,59%
8,Saline,Chemical,Arid,67,Integrated Pest Management,Late Summer,Lettuce,21C,Well-Done,CropLife Solutions,Summer,131km,67%
9,Clay,Chemical,Arid,68,Chemical Control - Organic Pesticides,Early Summer,Corn,27C,Rare,FarmGrow Inc.,Spring,132km,29%
10,Sandy,Compost,Tropical,73,Chemical Control - Organic Pesticides,Early Summer,Tomato,34C,Well-Done,CropLife Solutions,Winter,133km,35%
11,Loamy,Organic,Tropical,65,Biological Control - Predatory Insects,Autumn,Lettuce,31C,Rare,GreenFields,Spring,133km,64%
12,Clay,Chemical,Tropical,67,Integrated Pest Management,Early Spring,Carrot,22C,Medium,AgriSeeds Co.,Spring,130km,21%
13,Saline,Organic,Temperate,69,Biological Control - Predatory Insects,Winter,Corn,30C,Overdone,CropLife Solutions,Summer,133km,21%
14,Saline,Chemical,Arid,65,Biological Control - Predatory Insects,Late Summer,Wheat,31C,Medium,AgriSeeds Co.,Winter,130km,51%
15,Clay,Compost,Tropical,73,Integrated Pest Management,Late Summer,Wheat,21C,Medium-Well,CropLife Solutions,Autumn,133km,85%
