id,soil_type,fertilizer_type,climate,humidity_level,pest_disease_management,plant_time,crop_harvested,water_temperature,harvest_colour,seed_supplier,season,distance_to_retailer,harvest_yield
1,Saline,Compost,Temperate,69,Chemical Control - Organic Pesticides,Winter,Corn,26C,Medium-Rare,FarmGrow Inc.,Summer,130km,57%
2,Sandy,Chemical,Tropical,67,Chemical Control - Organic Pesticides,Late Spring,Tomato,22C,Overdone,GreenFields,Autumn,133km,31%
3,Loamy,Organic,Tropical,72,Biological Control - Predatory Insects,Early Spring,Tomato,22C,Medium-Well,FarmGrow Inc.,Summer,132km,26%
4,Saline,Compost,Arid,83,Chemical Control - Organic Pesticides,Late Spring,Tomato,21C,Medium,AgriSeeds Co.,Summer,131km,26%
5,Sandy,Compost,Arid,79,Integrated Pest Management,Late Spring,Potato,20C,Well-Done,FarmGrow Inc.,Autumn,134km,64%
6,Loamy,Organic,Arid,78,Biological Control - Predatory Insects,Early Spring,Lettuce,32C,Medium,AgriSeeds Co.,Summer,131km,21%
7,Clay,Chemical,Tropical,82,Chemical Control - Organic Pesticides,Autumn,Carrot,27C,Medium-Well,FarmGrow Inc.,Autumn,130km,87%
8,Loamy,Organic,Tropical,63,Chemical Control - Organic Pesticides,Late Summer,Lettuce,20C,Medium,GreenFields,Summer,132km,59%
9,Sandy,Compost,Temperate,76,Integrated Pest Management,Autumn,Lettuce,32C,Medium-Rare,GreenFields,Summer,132km,59%
10,Clay,Compost,Arid,69,Chemical Control - Synthetic Pesticides,Winter,Corn,32C,Rare,CropLife Solutions,Winter,130km,58%
11,Loamy,Compost,Temperate,72,Integrated Pest Management,Winter,Corn,34C,Rare,FarmGrow Inc.,Winter,132km,36%
12,Sandy,Compost,Arid,69,Integrated Pest Management,Late Spring,Tomato,20C,Medium-Rare,FarmGrow Inc.,Autumn,130km,71%
13,Clay,Organic,Arid,75,Integrated Pest Management,Winter,Corn,32C,Medium-Well,CropLife Solutions,Autumn,129km,25%
14,Loamy,Chemical,Arid,72,Chemical Control - Organic Pesticides,Autumn,Carrot,29C,Medium-Rare,FarmGrow Inc.,Autumn,131km,76%
15,Clay,Chemical,Temperate,82,Chemical Control - Organic Pesticides,Autumn,Wheat,26C,Medium-Well,FarmGrow Inc.,Summer,134km,97%
16,Loamy,Chemical,Temperate,62,Integrated Pest Management,Late Spring,Wheat,34C,Rare,GreenFields,Spring,130km,99%
17,Saline,Organic,Tropical,68,Biological Control - Predatory Insects,Autumn,Wheat,24C,Well-Done,FarmGrow Inc.,Winter,128km,90%
18,Loamy,Compost,Tropical,70,Chemical Control - Organic Pesticides,Early Summer,Tomato,34C,Medium-Rare,AgriSeeds Co.,Winter,130km,23%
19,Clay,Compost,Tropical,79,Chemical Control - Synthetic Pesticides,Early Spring,Tomato,22C,Medium-Rare,CropLife Solutions,Summer,128km,62%
20,Loamy,Chemical,Temperate,64,Integrated Pest Management,Early Spring,Wheat,22C,Overdone,AgriSeeds Co.,Summer,129km,39%
21,Clay,Chemical,Tropical,60,Biological Control - Predatory Insects,Early Spring,Potato,22C,Medium,GreenFields,Winter,133km,20%
22,Loamy,Organic,Temperate,66,Chemical Control - Synthetic Pesticides,Late Summer,Tomato,29C,Medium,FarmGrow Inc.,Winter,131km,98%
23,Loamy,Organic,Arid,84,Chemical Control - Organic Pesticides,Late Spring,Lettuce,34C,Rare,AgriSeeds Co.,Spring,128km,38%
24,Loamy,Organic,Arid,75,Integrated Pest Management,Winter,Corn,25C,Rare,GreenFields,Autumn,133km,76%
25,Loamy,Chemical,Temperate,77,Integrated Pest Management,Late Summer,Lettuce,28C,Overdone,FarmGrow Inc.,Autumn,130km,69%
26,Saline,Compost,Temperate,73,Biological Control - Predatory Insects,Autumn,Corn,34C,Medium,CropLife Solutions,Autumn,128km,42%
27,Saline,Chemical,Tropical,65,Integrated Pest Management,Winter,Tomato,29C,Medium-Well,CropLife Solutions,Spring,132km,57%
28,Clay,Compost,Temperate,79,Integrated Pest Management,Late Spring,Corn,22C,Well-Done,GreenFields,Summer,129km,96%
29,Saline,Organic,Arid,65,Biological Control - Predatory Insects,Autumn,Potato,30C,Medium,GreenFields,Summer,132km,49%
30,Saline,Compost,Temperate,81,Integrated Pest Management,Early Spring,Carrot,29C,Medium-Rare,GreenFields,Autumn,131km,74%
31,Clay,Compost,Arid,84,Chemical Control - Synthetic Pesticides,Autumn,Wheat,23C,Well-Done,CropLife Solutions,Autumn,131km,85%
32,Saline,Organic,Temperate,77,Biological Control - Predatory Insects,Winter,Carrot,31C,Rare,AgriSeeds Co.,Autumn,129km,94%
33,Clay,Chemical,Temperate,72,Biological Control - Predatory Insects,Late Spring,Corn,34C,Well-Done,GreenFields,Summer,132km,60%
34,Sandy,Compost,Arid,75,Chemical Control - Organic Pesticides,Early Spring,Corn,32C,Medium-Well,CropLife Solutions,Summer,134km,98%
35,Saline,Organic,Temperate,63,Biological Control - Predatory Insects,Winter,Potato,27C,Medium-Well,FarmGrow Inc.,Summer,133km,50%
36,Loamy,Chemical,Temperate,74,Chemical Control - Synthetic Pesticides,Late Summer,Carrot,26C,Medium-Well,AgriSeeds Co.,Winter,134km,42%
37,Saline,Compost,Tropical,76,Integrated Pest Management,Early Spring,Wheat,34C,Medium-Well,GreenFields,Autumn,132km,66%
38,Clay,Compost,Arid,72,Chemical Control - Organic Pesticides,Autumn,Wheat,27C,Rare,AgriSeeds Co.,Winter,133km,34%
39,Saline,Chemical,Arid,70,Chemical Control - Synthetic Pesticides,Early Summer,Wheat,20C,Medium-Well,FarmGrow Inc.,Summer,131km,87%
40,Clay,Organic,Temperate,78,Chemical Control - Organic Pesticides,Autumn,Tomato,32C,Rare,FarmGrow Inc.,Spring,131km,86%
41,Clay,Organic,Arid,72,Biological Control - Predatory Insects,Early Spring,Potato,25C,Medium,GreenFields,Summer,131km,82%
42,Saline,Organic,Temperate,74,Integrated Pest Management,Late Summer,Carrot,21C,Medium,GreenFields,Summer,132km,45%
43,Saline,Chemical,Tropical,82,Biological Control - Predatory Insects,Early Summer,Corn,31C,Rare,AgriSeeds Co.,Winter,131km,84%
44,Loamy,Organic,Tropical,66,Integrated Pest Management,Early Summer,Carrot,20C,Overdone,FarmGrow Inc.,Winter,130km,22%
45,Clay,Compost,Temperate,61,Chemical Control - Organic Pesticides,Early Spring,Tomato,22C,Rare,FarmGrow Inc.,Winter,128km,93%
46,Clay,Chemical,Tropical,63,Chemical Control - Organic Pesticides,Late Spring,Carrot,28C,Medium,GreenFields,Autumn,131km,96%
47,Sandy,Organic,Arid,61,Biological Control - Predatory Insects,Early Summer,Corn,30C,Rare,GreenFields,Spring,129km,71%
48,Clay,Chemical,Arid,70,Chemical Control - Synthetic Pesticides,Early Summer,Lettuce,31C,Medium-Well,FarmGrow Inc.,Spring,130km,20%
49,Saline,Organic,Arid,77,Chemical Control - Synthetic Pesticides,Late Spring,Corn,34C,Medium-Rare,GreenFields,Spring,129km,68%
50,Loamy,Compost,Arid,83,Chemical Control - Synthetic Pesticides,Autumn,Potato,33C,Medium-Well,AgriSeeds Co.,Autumn,131km,61%
51,Loamy,Organic,Tropical,70,Chemical Control - Organic Pesticides,Late Spring,Tomato,33C,Medium-Well,AgriSeeds Co.,Summer,129km,25%
52,Loamy,Compost,Temperate,84,Chemical Control - Organic Pesticides,Late Spring,Lettuce,20C,Medium,CropLife Solutions,Summer,129km,78%
