id,soil_type,fertilizer_type,climate,humidity_level,pest_disease_management,plant_time,crop_harvested,water_temperature,harvest_colour,seed_supplier,season,distance_to_retailer,harvest_yield
1,Loamy,Chemical,Tropical,70,Chemical Control - Organic Pesticides,Late Summer,Corn,29C,Medium,AgriSeeds Co.,Winter,131km,84%
2,Saline,Chemical,Temperate,63,Integrated Pest Management,Winter,Wheat,23C,Medium-Rare,AgriSeeds Co.,Autumn,133km,92%
3,Loamy,Compost,Temperate,69,Biological Control - Predatory Insects,Late Summer,Carrot,22C,Medium-Well,AgriSeeds Co.,Autumn,130km,62%
4,Sandy,Organic,Arid,65,Chemical Control - Synthetic Pesticides,Autumn,Tomato,26C,Medium-Rare,GreenFields,Summer,132km,64%
5,Clay,Compost,Arid,76,Biological Control - Predatory Insects,Winter,Lettuce,29C,Rare,CropLife Solutions,Autumn,134km,27%
6,Loamy,Chemical,Temperate,72,Chemical Control - Synthetic Pesticides,Late Summer,Carrot,33C,Rare,GreenFields,Winter,129km,56%
7,Loamy,Compost,Arid,79,Chemical Control - Organic Pesticides,Winter,Lettuce,22C,Rare,GreenFields,Summer,131km,32%
8,Sandy,Compost,Tropical,60,Chemical Control - Organic Pesticides,Winter,Carrot,26C,Rare,AgriSeeds Co.,Autumn,133km,36%
9,Loamy,Organic,Tropical,79,Biological Control - Predatory Insects,Late Summer,Wheat,29C,Medium-Rare,GreenFields,Spring,132km,22%
10,Saline,Chemical,Temperate,68,Biological Control - Predatory Insects,Autumn,Wheat,28C,Medium,FarmGrow Inc.,Spring,132km,73%
11,Loamy,Organic,Arid,64,Biological Control - Predatory Insects,Early Summer,Carrot,34C,Well-Done,FarmGrow Inc.,Winter,132km,73%
12,Sandy,Organic,Tropical,72,Integrated Pest Management,Late Summer,Wheat,24C,Medium,GreenFields,Spring,130km,43%
13,Loamy,Chemical,Arid,67,Integrated Pest Management,Early Summer,Corn,21C,Rare,AgriSeeds Co.,Winter,134km,20%
14,Clay,Organic,Tropical,76,Integrated Pest Management,Winter,Potato,22C,Medium-Well,AgriSeeds Co.,Spring,133km,93%
15,Loamy,Chemical,Tropical,83,Chemical Control - Organic Pesticides,Late Spring,Lettuce,30C,Overdone,FarmGrow Inc.,Spring,129km,39%
16,Clay,Compost,Temperate,78,Chemical Control - Synthetic Pesticides,Late Summer,Potato,30C,Well-Done,AgriSeeds Co.,Autumn,132km,93%
17,Loamy,Organic,Tropical,75,Biological Control - Predatory Insects,Winter,Corn,28C,Medium-Rare,FarmGrow Inc.,Autumn,134km,84%
18,Sandy,Compost,Arid,72,Biological Control - Predatory Insects,Winter,Tomato,25C,Overdone,GreenFields,Spring,130km,90%
19,Saline,Compost,Tropical,66,Integrated Pest Management,Early Spring,Tomato,21C,Rare,FarmGrow Inc.,Spring,130km,79%
20,Loamy,Organic,Temperate,60,Chemical Control - Organic Pesticides,Late Summer,Potato,31C,Medium-Rare,GreenFields,Winter,134km,87%
21,Sandy,Compost,Temperate,79,Biological Control - Predatory Insects,Late Summer,Carrot,23C,Medium-Well,GreenFields,Autumn,132km,56%
22,Clay,Chemical,Arid,85,Chemical Control - Organic Pesticides,Early Summer,Carrot,28C,Medium-Well,AgriSeeds Co.,Summer,129km,41%
23,Loamy,Compost,Arid,67,Biological Control - Predatory Insects,Winter,Potato,29C,Medium-Well,CropLife Solutions,Summer,133km,81%
24,Clay,Compost,Temperate,77,Biological Control - Predatory Insects,Early Spring,Carrot,34C,Medium,AgriSeeds Co.,Spring,134km,81%
25,Clay,Compost,Temperate,70,Biological Control - Predatory Insects,Late Spring,Lettuce,27C,Medium-Rare,CropLife Solutions,Spring,130km,61%
26,Sandy,Compost,Tropical,60,Biological Control - Predatory Insects,Winter,Corn,26C,Overdone,FarmGrow Inc.,Summer,134km,24%
27,Loamy,Organic,Temperate,66,Chemical Control - Synthetic Pesticides,Late Spring,Tomato,22C,Medium-Well,AgriSeeds Co.,Autumn,131km,35%
28,Sandy,Organic,Temperate,73,Biological Control - Predatory Insects,Late Spring,Lettuce,28C,Overdone,CropLife Solutions,Spring,129km,84%
29,Loamy,Chemical,Arid,68,Integrated Pest Management,Late Spring,Corn,20C,Medium,FarmGrow Inc.,Spring,128km,81%
30,Clay,Organic,Arid,79,Biological Control - Predatory Insects,Late Spring,Lettuce,21C,Medium-Rare,FarmGrow Inc.,Autumn,129km,91%
31,Saline,Chemical,Arid,79,Integrated Pest Management,Early Summer,Corn,31C,Well-Done,CropLife Solutions,Summer,134km,60%
32,Sandy,Chemical,Temperate,69,Chemical Control - Synthetic Pesticides,Winter,Carrot,29C,Medium-Well,CropLife Solutions,Summer,132km,60%
33,Loamy,Chemical,Temperate,78,Integrated Pest Management,Autumn,Lettuce,28C,Rare,AgriSeeds Co.,Summer,128km,32%
34,Loamy,Compost,Temperate,84,Integrated Pest Management,Late Spring,Wheat,23C,Medium,CropLife Solutions,Autumn,134km,21%
35,Clay,Organic,Arid,63,Integrated Pest Management,Late Summer,Potato,21C,Rare,GreenFields,Winter,131km,96%
36,Sandy,Compost,Temperate,70,Chemical Control - Synthetic Pesticides,Late Spring,Wheat,22C,Well-Done,CropLife Solutions,Spring,131km,87%
37,Sandy,Compost,Temperate,80,Integrated Pest Management,Early Summer,Corn,31C,Rare,AgriSeeds Co.,Winter,133km,60%
38,Loamy,Chemical,Temperate,83,Integrated Pest Management,Early Spring,Carrot,33C,Medium,GreenFields,Autumn,130km,84%
39,Sandy,Chemical,Arid,82,Chemical Control - Organic Pesticides,Autumn,Potato,25C,Rare,CropLife Solutions,Autumn,131km,31%
40,Loamy,Compost,Tropical,76,Chemical Control - Organic Pesticides,Winter,Potato,33C,Medium-Well,AgriSeeds Co.,Autumn,129km,64%
41,Sandy,Compost,Temperate,72,Chemical Control - Organic Pesticides,Early Summer,Lettuce,27C,Medium-Rare,AgriSeeds Co.,Spring,132km,51%
42,Saline,Organic,Arid,77,Chemical Control - Organic Pesticides,Autumn,Lettuce,24C,Rare,GreenFields,Autumn,132km,33%
43,Sandy,Organic,Arid,76,Biological Control - Predatory Insects,Autumn,Tomato,20C,Rare,AgriSeeds Co.,Winter,133km,66%
44,Sandy,Organic,Arid,83,Integrated Pest Management,Autumn,Tomato,25C,Medium-Well,GreenFields,Autumn,131km,57%
45,Clay,Compost,Temperate,74,Biological Control - Predatory Insects,Late Spring,Lettuce,29C,Overdone,FarmGrow Inc.,Summer,128km,92%
46,Sandy,Chemical,Arid,64,Integrated Pest Management,Late Summer,Corn,27C,Medium,AgriSeeds Co.,Spring,129km,93%
47,Clay,Organic,Arid,61,Integrated Pest Management,Autumn,Corn,24C,Well-Done,CropLife Solutions,Summer,129km,61%
48,Loamy,Organic,Tropical,72,Biological Control - Predatory Insects,Late Spring,Wheat,27C,Rare,GreenFields,Winter,133km,53%
49,Clay,Compost,Tropical,78,Integrated Pest Management,Winter,Potato,24C,Rare,CropLife Solutions,Spring,130km,98%
50,Sandy,Compost,Temperate,74,Biological Control - Predatory Insects,Late Summer,Potato,21C,Medium-Rare,GreenFields,Summer,133km,82%
51,Saline,Organic,Temperate,75,Biological Control - Predatory Insects,Late Summer,Lettuce,21C,Medium-Well,CropLife Solutions,Autumn,129km,95%
52,Sandy,Organic,Tropical,84,Chemical Control - Organic Pesticides,Early Spring,Tomato,24C,Medium,GreenFields,Autumn,130km,26%
53,Loamy,Chemical,Temperate,73,Integrated Pest Management,Early Spring,Tomato,32C,Overdone,CropLife Solutions,Spring,133km,34%
54,Saline,Organic,Tropical,64,Chemical Control - Organic Pesticides,Late Summer,Tomato,34C,Well-Done,FarmGrow Inc.,Spring,132km,63%
55,Clay,Chemical,Temperate,79,Biological Control - Predatory Insects,Late Spring,Lettuce,31C,Medium-Well,GreenFields,Winter,132km,50%
56,Clay,Chemical,Arid,66,Biological Control - Predatory Insects,Winter,Corn,20C,Rare,AgriSeeds Co.,Summer,133km,95%
57,Clay,Organic,Temperate,79,Biological Control - Predatory Insects,Early Spring,Tomato,34C,Overdone,FarmGrow Inc.,Winter,130km,88%
58,Sandy,Chemical,Tropical,82,Chemical Control - Organic Pesticides,Winter,Potato,21C,Medium,AgriSeeds Co.,Autumn,129km,41%
59,Loamy,Compost,Temperate,81,Chemical Control - Organic Pesticides,Early Summer,Tomato,20C,Rare,FarmGrow Inc.,Autumn,129km,39%
60,Clay,Chemical,Arid,68,Integrated Pest Management,Early Spring,Wheat,31C,Well-Done,CropLife Solutions,Spring,131km,28%
61,Saline,Organic,Arid,60,Chemical Control - Synthetic Pesticides,Autumn,Potato,24C,Medium,GreenFields,Winter,134km,68%
62,Sandy,Organic,Tropical,70,Chemical Control - Synthetic Pesticides,Autumn,Carrot,31C,Medium-Rare,FarmGrow Inc.,Summer,128km,97%
63,Sandy,Organic,Arid,74,Chemical Control - Synthetic Pesticides,Late Spring,Tomato,26C,Overdone,GreenFields,Spring,132km,75%
64,Loamy,Organic,Arid,61,Biological Control - Predatory Insects,Late Summer,Wheat,21C,Medium-Well,FarmGrow Inc.,Autumn,132km,60%
65,Loamy,Organic,Arid,80,Chemical Control - Synthetic Pesticides,Autumn,Carrot,32C,Medium-Well,AgriSeeds Co.,Summer,132km,39%
66,Loamy,Chemical,Tropical,78,Chemical Control - Organic Pesticides,Winter,Potato,20C,Rare,FarmGrow Inc.,Summer,133km,61%
67,Saline,Compost,Arid,77,Integrated Pest Management,Autumn,Carrot,23C,Rare,AgriSeeds Co.,Spring,134km,62%
68,Sandy,Compost,Temperate,66,Integrated Pest Management,Winter,Wheat,33C,Overdone,AgriSeeds Co.,Summer,130km,74%
69,Saline,Chemical,Tropical,61,Chemical Control - Organic Pesticides,Autumn,Corn,33C,Rare,GreenFields,Summer,130km,38%
70,Clay,Chemical,Arid,84,Chemical Control - Synthetic Pesticides,Late Spring,Tomato,34C,Medium,CropLife Solutions,Summer,129km,86%
71,Sandy,Compost,Tropical,84,Integrated Pest Management,Autumn,Carrot,28C,Medium,GreenFields,Winter,133km,53%
72,Clay,Chemical,Tropical,82,Integrated Pest Management,Early Spring,Tomato,30C,Medium-Rare,GreenFields,Winter,128km,42%
73,Sandy,Chemical,Temperate,69,Biological Control - Predatory Insects,Late Summer,Potato,23C,Medium,AgriSeeds Co.,Winter,130km,64%
74,Saline,Chemical,Arid,68,Biological Control - Predatory Insects,Autumn,Potato,29C,Well-Done,CropLife Solutions,Summer,129km,20%
75,Clay,Chemical,Arid,83,Chemical Control - Organic Pesticides,Late Spring,Corn,22C,Medium-Well,AgriSeeds Co.,Spring,132km,24%
76,Loamy,Organic,Tropical,65,Biological Control - Predatory Insects,Autumn,Wheat,25C,Medium-Rare,GreenFields,Summer,131km,97%
