id,soil_type,fertilizer_type,climate,humidity_level,pest_disease_management,plant_time,crop_harvested,water_temperature,harvest_colour,seed_supplier,season,distance_to_retailer,harvest_yield
1,Sandy,Chemical,Arid,71,Chemical Control - Synthetic Pesticides,Early Summer,Carrot,30C,Medium-Well,GreenFields,Winter,133km,71%
2,Loamy,Compost,Tropical,83,Biological Control - Predatory Insects,Autumn,Wheat,20C,Medium-Rare,GreenFields,Spring,128km,94%
3,Loamy,Compost,Arid,79,Chemical Control - Synthetic Pesticides,Late Spring,Lettuce,34C,Medium-Rare,GreenFields,Autumn,133km,60%
4,Clay,Organic,Temperate,77,Integrated Pest Management,Winter,Lettuce,31C,Medium-Well,FarmGrow Inc.,Summer,131km,97%
5,Sandy,Compost,Temperate,62,Integrated Pest Management,Early Summer,Potato,33C,Medium-Rare,AgriSeeds Co.,Autumn,134km,82%
6,Loamy,Chemical,Temperate,74,Integrated Pest Management,Winter,Potato,24C,Medium-Well,FarmGrow Inc.,Spring,128km,32%
7,Loamy,Compost,Temperate,77,Biological Control - Predatory Insects,Late Spring,Carrot,25C,Medium-Well,FarmGrow Inc.,Winter,130km,38%
8,Clay,Compost,Temperate,65,Integrated Pest Management,Winter,Wheat,20C,Medium-Rare,GreenFields,Winter,133km,54%
9,Loamy,Chemical,Arid,69,Biological Control - Predatory Insects,Late Spring,Tomato,29C,Medium-Rare,CropLife Solutions,Winter,129km,93%
10,Saline,Organic,Tropical,67,Chemical Control - Synthetic Pesticides,Early Summer,Wheat,26C,Medium-Rare,AgriSeeds Co.,Winter,130km,78%
11,Saline,Compost,Arid,60,Integrated Pest Management,Autumn,Corn,26C,Overdone,GreenFields,Winter,130km,88%
12,Sandy,Chemical,Temperate,83,Biological Control - Predatory Insects,Late Summer,Tomato,22C,Medium,CropLife Solutions,Summer,131km,28%
13,Clay,Chemical,Arid,79,Integrated Pest Management,Late Summer,Tomato,26C,Rare,AgriSeeds Co.,Winter,129km,83%
14,Clay,Compost,Arid,80,Integrated Pest Management,Winter,Lettuce,32C,Medium-Rare,GreenFields,Autumn,129km,100%
15,Saline,Chemical,Arid,68,Chemical Control - Synthetic Pesticides,Late Spring,Lettuce,26C,Medium-Rare,FarmGrow Inc.,Spring,129km,67%
16,Sandy,Organic,Arid,72,Chemical Control - Organic Pesticides,Late Spring,Tomato,30C,Overdone,GreenFields,Spring,134km,49%
17,Loamy,Compost,Temperate,61,Integrated Pest Management,Winter,Lettuce,28C,Overdone,FarmGrow Inc.,Summer,134km,85%
18,Loamy,Compost,Tropical,74,Chemical Control - Synthetic Pesticides,Early Summer,Tomato,20C,Well-Done,GreenFields,Summer,129km,77%
19,Loamy,Organic,Tropical,60,Chemical Control - Organic Pesticides,Late Summer,Corn,27C,Rare,AgriSeeds Co.,Winter,133km,24%
20,Clay,Compost,Temperate,60,Chemical Control - Organic Pesticides,Autumn,Lettuce,31C,Medium,AgriSeeds Co.,Winter,130km,31%
21,Loamy,Chemical,Tropical,79,Chemical Control - Synthetic Pesticides,Winter,Corn,34C,Medium-Rare,FarmGrow Inc.,Autumn,134km,92%
22,Loamy,Organic,Temperate,85,Integrated Pest Management,Early Summer,Wheat,27C,Overdone,FarmGrow Inc.,Winter,132km,66%
23,Clay,Compost,Tropical,69,Chemical Control - Organic Pesticides,Winter,Potato,22C,Overdone,AgriSeeds Co.,Autumn,128km,38%
24,Loamy,Chemical,Arid,67,Biological Control - Predatory Insects,Winter,Potato,20C,Medium-Well,AgriSeeds Co.,Spring,134km,40%
25,Sandy,Compost,Arid,62,Chemical Control - Synthetic Pesticides,Early Summer,Potato,24C,Medium-Rare,AgriSeeds Co.,Spring,133km,35%
26,Loamy,Organic,Arid,74,Biological Control - Predatory Insects,Early Summer,Lettuce,31C,Medium,AgriSeeds Co.,Winter,129km,25%
27,Sandy,Compost,Temperate,82,Biological Control - Predatory Insects,Late Summer,Potato,33C,Well-Done,AgriSeeds Co.,Spring,131km,87%
28,Saline,Organic,Tropical,81,Biological Control - Predatory Insects,Late Spring,Potato,31C,Medium-Rare,CropLife Solutions,Summer,132km,67%
29,Sandy,Compost,Temperate,63,Biological Control - Predatory Insects,Late Spring,Carrot,30C,Well-Done,GreenFields,Summer,128km,98%
30,Saline,Organic,Temperate,79,Integrated Pest Management,Late Spring,Lettuce,32C,Rare,GreenFields,Winter,129km,67%
31,Sandy,Chemical,Temperate,70,Integrated Pest Management,Autumn,Lettuce,23C,Overdone,CropLife Solutions,Spring,134km,47%
32,Sandy,Compost,Tropical,82,Chemical Control - Organic Pesticides,Early Summer,Carrot,31C,Medium-Well,GreenFields,Spring,134km,63%
33,Saline,Chemical,Tropical,61,Biological Control - Predatory Insects,Early Summer,Corn,34C,Well-Done,GreenFields,Spring,128km,68%
34,Saline,Compost,Arid,78,Integrated Pest Management,Early Summer,Potato,33C,Well-Done,FarmGrow Inc.,Winter,134km,98%
