id,soil_type,fertilizer_type,climate,humidity_level,pest_disease_management,plant_time,crop_harvested,water_temperature,harvest_colour,seed_supplier,season,distance_to_retailer,harvest_yield
1,Sandy,Organic,Temperate,67,Chemical Control - Synthetic Pesticides,Late Spring,Tomato,30C,Medium-Rare,FarmGrow Inc.,Spring,131km,84%
2,Sandy,Chemical,Tropical,74,Biological Control - Predatory Insects,Late Summer,Carrot,26C,Overdone,AgriSeeds Co.,Winter,132km,56%
3,Saline,Organic,Tropical,76,Chemical Control - Organic Pesticides,Early Spring,Corn,24C,Medium,CropLife Solutions,Winter,133km,86%
4,Loamy,Organic,Temperate,83,Chemical Control - Synthetic Pesticides,Early Summer,Tomato,29C,Medium,GreenFields,Spring,130km,27%
5,Loamy,Organic,Temperate,73,Chemical Control - Synthetic Pesticides,Late Spring,Tomato,25C,Rare,AgriSeeds Co.,Summer,129km,84%
6,Loamy,Organic,Temperate,67,Integrated Pest Management,Early Spring,Lettuce,22C,Overdone,AgriSeeds Co.,Spring,132km,66%
7,Sandy,Organic,Temperate,72,Chemical Control - Organic Pesticides,Early Summer,Potato,25C,Well-Done,CropLife Solutions,Spring,130km,45%
8,Sandy,Compost,Tropical,85,Biological Control - Predatory Insects,Early Summer,Corn,31C,Medium-Well,FarmGrow Inc.,Winter,134km,56%
9,Loamy,Chemical,Tropical,66,Chemical Control - Synthetic Pesticides,Autumn,Carrot,23C,Medium,GreenFields,Winter,131km,32%
10,Clay,Compost,Arid,77,Chemical Control - Synthetic Pesticides,Early Spring,Lettuce,34C,Rare,FarmGrow Inc.,Winter,128km,59%
11,Sandy,Chemical,Tropical,69,Chemical Control - Organic Pesticides,Winter,Potato,26C,Overdone,AgriSeeds Co.,Winter,130km,59%
12,Sandy,Chemical,Temperate,71,Chemical Control - Organic Pesticides,Late Summer,Wheat,33C,Well-Done,FarmGrow Inc.,Spring,132km,61%
13,Clay,Organic,Tropical,76,Biological Control - Predatory Insects,Late Spring,Wheat,27C,Well-Done,AgriSeeds Co.,Autumn,128km,99%
14,Loamy,Chemical,Arid,78,Integrated Pest Management,Early Spring,Carrot,22C,Rare,GreenFields,Autumn,132km,23%
15,Loamy,Chemical,Arid,70,Chemical Control - Synthetic Pesticides,Early Summer,Tomato,29C,Medium-Rare,CropLife Solutions,Winter,132km,22%
16,Loamy,Compost,Tropical,69,Chemical Control - Organic Pesticides,Early Summer,Potato,28C,Rare,GreenFields,Autumn,131km,50%
17,Saline,Chemical,Tropical,74,Chemical Control - Organic Pesticides,Late Spring,Corn,29C,Overdone,AgriSeeds Co.,Spring,130km,53%
18,Loamy,Compost,Tropical,78,Biological Control - Predatory Insects,Late Summer,Lettuce,22C,Overdone,GreenFields,Summer,128km,73%
19,Saline,Compost,Arid,74,Integrated Pest Management,Early Summer,Carrot,33C,Medium,GreenFields,Spring,128km,56%
20,Clay,Organic,Temperate,62,Biological Control - Predatory Insects,Winter,Corn,31C,Well-Done,GreenFields,Winter,131km,53%
21,Saline,Chemical,Tropical,79,Chemical Control - Organic Pesticides,Autumn,Carrot,30C,Medium,GreenFields,Summer,129km,51%
22,Loamy,Compost,Temperate,81,Integrated Pest Management,Early Summer,Corn,31C,Medium,AgriSeeds Co.,Autumn,128km,100%
23,Sandy,Chemical,Temperate,72,Integrated Pest Management,Autumn,Wheat,34C,Medium-Rare,AgriSeeds Co.,Summer,132km,60%
24,Sandy,Compost,Arid,72,Chemical Control - Organic Pesticides,Winter,Potato,32C,Rare,AgriSeeds Co.,Spring,133km,85%
25,Saline,Organic,Temperate,70,Chemical Control - Organic Pesticides,Late Spring,Wheat,23C,Overdone,GreenFields,Winter,132km,39%
26,Sandy,Compost,Tropical,64,Biological Control - Predatory Insects,Winter,Wheat,28C,Medium-Rare,AgriSeeds Co.,Summer,129km,28%
27,Loamy,Chemical,Arid,83,Integrated Pest Management,Winter,Wheat,25C,Rare,CropLife Solutions,Spring,132km,89%
