id,soil_type,fertilizer_type,climate,humidity_level,pest_disease_management,plant_time,crop_harvested,water_temperature,harvest_colour,seed_supplier,season,distance_to_retailer,harvest_yield
1,Sandy,Chemical,Tropical,71,Biological Control - Predatory Insects,Late Summer,Wheat,21C,Overdone,GreenFields,Winter,129km,25%
2,Clay,Chemical,Temperate,75,Integrated Pest Management,Late Spring,Potato,21C,Overdone,FarmGrow Inc.,Autumn,132km,54%
3,Clay,Compost,Arid,61,Chemical Control - Synthetic Pesticides,Late Summer,Wheat,29C,Medium,GreenFields,Summer,129km,41%
4,Saline,Chemical,Tropical,83,Biological Control - Predatory Insects,Late Summer,Potato,23C,Overdone,FarmGrow Inc.,Summer,133km,88%
5,Sandy,Compost,Tropical,76,Chemical Control - Synthetic Pesticides,Winter,Potato,29C,Medium,AgriSeeds Co.,Winter,132km,32%
6,Saline,Chemical,Arid,65,Integrated Pest Management,Winter,Corn,20C,Overdone,AgriSeeds Co.,Autumn,132km,27%
7,Saline,Chemical,Arid,64,Chemical Control - Synthetic Pesticides,Late Summer,Carrot,23C,Medium-Well,FarmGrow Inc.,Winter,133km,41%
8,Saline,Organic,Arid,67,Biological Control - Predatory Insects,Early Spring,Carrot,25C,Medium-Well,FarmGrow Inc.,Winter,131km,96%
9,Saline,Compost,Tropical,61,Chemical Control - Synthetic Pesticides,Winter,Tomato,21C,Medium,FarmGrow Inc.,Winter,134km,38%
10,Saline,Compost,Temperate,83,Integrated Pest Management,Late Spring,Wheat,23C,Well-Done,CropLife Solutions,Spring,132km,95%
11,Loamy,Compost,Tropical,67,Integrated Pest Management,Autumn,Lettuce,22C,Medium-Well,CropLife Solutions,Winter,134km,74%
12,Clay,Compost,Tropical,83,Integrated Pest Management,Autumn,Lettuce,31C,Medium,FarmGrow Inc.,Spring,133km,100%
13,Sandy,Organic,Arid,60,Chemical Control - Organic Pesticides,Late Spring,Wheat,29C,Rare,AgriSeeds Co.,Autumn,129km,93%
14,Loamy,Organic,Tropical,63,Chemical Control - Organic Pesticides,Early Summer,Carrot,27C,Medium,CropLife Solutions,Autumn,129km,98%
15,Saline,Organic,Temperate,76,Chemical Control - Organic Pesticides,Early Spring,Potato,31C,Rare,FarmGrow Inc.,Winter,129km,43%
16,Loamy,Chemical,Arid,76,Biological Control - Predatory Insects,Late Summer,Potato,33C,Medium-Rare,CropLife Solutions,Summer,129km,31%
17,Clay,Chemical,Temperate,64,Integrated Pest Management,Autumn,Lettuce,24C,Medium,CropLife Solutions,Autumn,133km,44%
18,Loamy,Chemical,Temperate,81,Integrated Pest Management,Winter,Wheat,22C,Rare,FarmGrow Inc.,Spring,131km,81%
19,Clay,Chemical,Arid,72,Integrated Pest Management,Winter,Lettuce,29C,Rare,FarmGrow Inc.,Autumn,132km,57%
20,Sandy,Chemical,Temperate,77,Chemical Control - Synthetic Pesticides,Late Summer,Lettuce,31C,Rare,CropLife Solutions,Winter,131km,37%
21,Saline,Compost,Tropical,74,Biological Control - Predatory Insects,Early Summer,Potato,29C,Medium,FarmGrow Inc.,Autumn,130km,59%
22,Sandy,Compost,Tropical,69,Chemical Control - Synthetic Pesticides,Autumn,Lettuce,31C,Well-Done,AgriSeeds Co.,Winter,130km,80%
23,Loamy,Compost,Tropical,72,Chemical Control - Synthetic Pesticides,Late Spring,Potato,32C,Well-Done,CropLife Solutions,Autumn,128km,39%
24,Sandy,Compost,Tropical,67,Integrated Pest Management,Early Spring,Carrot,31C,Rare,CropLife Solutions,Winter,133km,61%
