id,soil_type,fertilizer_type,climate,humidity_level,pest_disease_management,plant_time,crop_harvested,water_temperature,harvest_colour,seed_supplier,season,distance_to_retailer,harvest_yield
1,Clay,Organic,Arid,61,Integrated Pest Management,Winter,Tomato,32C,Medium,AgriSeeds Co.,Spring,134km,25%
2,Saline,Chemical,Arid,73,Chemical Control - Organic Pesticides,Late Spring,Wheat,28C,Rare,AgriSeeds Co.,Winter,132km,75%
3,Loamy,Compost,Temperate,85,Integrated Pest Management,Early Summer,Wheat,30C,Medium,AgriSeeds Co.,Autumn,128km,48%
4,Loamy,Compost,Arid,62,Biological Control - Predatory Insects,Autumn,Potato,34C,Well-Done,CropLife Solutions,Winter,134km,31%
5,Clay,Organic,Temperate,71,Chemical Control - Organic Pesticides,Early Summer,Corn,20C,Medium,FarmGrow Inc.,Spring,134km,88%
6,Saline,Compost,Tropical,66,Chemical Control - Organic Pesticides,Late Spring,Tomato,27C,Medium,AgriSeeds Co.,Winter,131km,95%
7,Loamy,Compost,Temperate,72,Chemical Control - Organic Pesticides,Early Summer,Corn,29C,Well-Done,CropLife Solutions,Spring,131km,74%
8,Saline,Chemical,Temperate,74,Chemical Control - Synthetic Pesticides,Late Summer,Corn,22C,Medium,AgriSeeds Co.,Spring,133km,58%
9,Saline,Chemical,Tropical,69,Biological Control - Predatory Insects,Winter,Corn,26C,Well-Done,FarmGrow Inc.,Autumn,134km,76%
10,Sandy,Compost,Temperate,70,Chemical Control - Organic Pesticides,Autumn,Lettuce,31C,Medium-Well,GreenFields,Winter,133km,69%
11,Loamy,Compost,Arid,67,Integrated Pest Management,Early Spring,Lettuce,29C,Rare,FarmGrow Inc.,Spring,132km,69%
12,Loamy,Compost,Tropical,78,Integrated Pest Management,Early Summer,Corn,33C,Rare,GreenFields,Spring,130km,81%
13,Clay,Chemical,Tropical,66,Chemical Control - Synthetic Pesticides,Late Spring,Lettuce,23C,Overdone,AgriSeeds Co.,Autumn,134km,39%
14,Loamy,Compost,Temperate,62,Biological Control - Predatory Insects,Early Spring,Wheat,26C,Rare,GreenFields,Autumn,134km,72%
15,Clay,Organic,Tropical,69,Biological Control - Predatory Insects,Winter,Corn,29C,Medium-Rare,CropLife Solutions,Spring,129km,89%
16,Sandy,Organic,Arid,71,Integrated Pest Management,Early Summer,Potato,21C,Medium-Well,GreenFields,Summer,132km,59%
17,Saline,Chemical,Arid,68,Integrated Pest Management,Autumn,Potato,28C,Rare,FarmGrow Inc.,Winter,129km,37%
18,Sandy,Compost,Tropical,71,Integrated Pest Management,Early Spring,Carrot,32C,Rare,FarmGrow Inc.,Summer,132km,23%
19,Clay,Organic,Tropical,79,Chemical Control - Synthetic Pesticides,Late Summer,Tomato,30C,Medium,CropLife Solutions,Summer,129km,63%
