id,soil_type,fertilizer_type,climate,humidity_level,pest_disease_management,plant_time,crop_harvested,water_temperature,harvest_colour,seed_supplier,season,distance_to_retailer,harvest_yield
1,Saline,Compost,Temperate,77,Chemical Control - Synthetic Pesticides,Autumn,Tomato,33C,Medium-Rare,AgriSeeds Co.,Summer,130km,41%
2,Clay,Compost,Arid,82,Chemical Control - Organic Pesticides,Winter,Corn,33C,Medium,CropLife Solutions,Autumn,132km,88%
3,Sandy,Chemical,Arid,64,Integrated Pest Management,Early Spring,Corn,34C,Rare,FarmGrow Inc.,Winter,130km,20%
4,Loamy,Organic,Arid,68,Chemical Control - Organic Pesticides,Winter,Carrot,33C,Medium,GreenFields,Winter,129km,32%
5,Saline,Chemical,Arid,66,Biological Control - Predatory Insects,Winter,Potato,21C,Medium-Rare,AgriSeeds Co.,Winter,134km,36%
6,Sandy,Organic,Arid,70,Chemical Control - Synthetic Pesticides,Early Summer,Lettuce,32C,Overdone,CropLife Solutions,Spring,130km,95%
7,Saline,Chemical,Arid,72,Integrated Pest Management,Winter,Tomato,23C,Well-Done,AgriSeeds Co.,Summer,134km,20%
8,Loamy,Organic,Tropical,65,Chemical Control - Synthetic Pesticides,Late Summer,Potato,24C,Well-Done,CropLife Solutions,Autumn,130km,36%
9,Sandy,Compost,Arid,79,Chemical Control - Synthetic Pesticides,Autumn,Carrot,24C,Medium-Well,CropLife Solutions,Summer,131km,58%
10,Sandy,Organic,Arid,75,Chemical Control - Synthetic Pesticides,Early Summer,Potato,22C,Well-Done,CropLife Solutions,Spring,132km,33%
11,Clay,Compost,Arid,72,Biological Control - Predatory Insects,Early Spring,Lettuce,21C,Rare,FarmGrow Inc.,Winter,129km,47%
12,Clay,Chemical,Tropical,68,Biological Control - Predatory Insects,Winter,Potato,31C,Rare,GreenFields,Winter,129km,25%
13,Sandy,Chemical,Temperate,79,Biological Control - Predatory Insects,Autumn,Corn,29C,Rare,GreenFields,Autumn,128km,86%
14,Sandy,Chemical,Tropical,63,Biological Control - Predatory Insects,Late Spring,Wheat,25C,Rare,AgriSeeds Co.,Winter,128km,87%
15,Saline,Compost,Arid,72,Integrated Pest Management,Early Spring,Lettuce,31C,Medium-Rare,CropLife Solutions,Winter,131km,83%
16,Clay,Chemical,Tropical,80,Integrated Pest Management,Late Spring,Lettuce,23C,Well-Done,FarmGrow Inc.,Summer,131km,56%
17,Loamy,Compost,Arid,62,Chemical Control - Synthetic Pesticides,Autumn,Carrot,20C,Overdone,GreenFields,Autumn,128km,22%
18,Clay,Chemical,Tropical,68,Biological Control - Predatory Insects,Winter,Carrot,23C,Medium-Rare,CropLife Solutions,Winter,129km,53%
19,Saline,Chemical,Temperate,77,Integrated Pest Management,Late Spring,Corn,27C,Well-Done,GreenFields,Winter,130km,45%
20,Sandy,Chemical,Arid,85,Chemical Control - Organic Pesticides,Early Spring,Carrot,31C,Well-Done,GreenFields,Summer,133km,42%
21,Loamy,Chemical,Temperate,74,Biological Control - Predatory Insects,Early Summer,Carrot,21C,Medium-Rare,FarmGrow Inc.,Winter,133km,43%
22,Saline,Compost,Arid,79,Integrated Pest Management,Early Spring,Potato,20C,Medium-Well,CropLife Solutions,Winter,131km,88%
23,Saline,Chemical,Arid,69,Integrated Pest Management,Late Summer,Tomato,22C,Rare,AgriSeeds Co.,Winter,132km,52%
24,Clay,Chemical,Arid,70,Biological Control - Predatory Insects,Late Spring,Wheat,29C,Rare,GreenFields,Winter,128km,58%
25,Loamy,Compost,Temperate,82,Biological Control - Predatory Insects,Early Spring,Corn,29C,Medium-Rare,FarmGrow Inc.,Spring,132km,39%
26,Saline,Chemical,Temperate,77,Biological Control - Predatory Insects,Autumn,Wheat,22C,Medium-Well,GreenFields,Summer,131km,36%
27,Clay,Chemical,Arid,83,Chemical Control - Organic Pesticides,Late Spring,Wheat,21C,Medium,GreenFields,Autumn,130km,21%
28,Clay,Organic,Temperate,82,Chemical Control - Synthetic Pesticides,Winter,Wheat,30C,Overdone,FarmGrow Inc.,Autumn,129km,34%
29,Loamy,Organic,Arid,77,Biological Control - Predatory Insects,Late Spring,Potato,29C,Overdone,CropLife Solutions,Spring,129km,94%
30,Loamy,Chemical,Tropical,72,Biological Control - Predatory Insects,Autumn,Carrot,23C,Medium,CropLife Solutions,Spring,131km,59%
31,Sandy,Organic,Arid,69,Chemical Control - Synthetic Pesticides,Late Summer,Carrot,22C,Medium,AgriSeeds Co.,Summer,134km,44%
32,Sandy,Compost,Tropical,81,Chemical Control - Synthetic Pesticides,Early Spring,Potato,31C,Medium-Well,GreenFields,Spring,128km,52%
33,Clay,Compost,Tropical,66,Chemical Control - Synthetic Pesticides,Winter,Tomato,20C,Overdone,CropLife Solutions,Autumn,133km,95%
34,Loamy,Chemical,Tropical,78,Chemical Control - Synthetic Pesticides,Early Summer,Potato,25C,Well-Done,FarmGrow Inc.,Autumn,131km,27%
35,Clay,Compost,Arid,60,Chemical Control - Organic Pesticides,Late Spring,Carrot,27C,Medium-Rare,FarmGrow Inc.,Winter,129km,32%
36,Sandy,Compost,Arid,78,Chemical Control - Organic Pesticides,Autumn,Carrot,27C,Well-Done,GreenFields,Winter,133km,35%
37,Sandy,Chemical,Tropical,82,Chemical Control - Synthetic Pesticides,Autumn,Potato,29C,Rare,FarmGrow Inc.,Summer,128km,53%
38,Sandy,Organic,Tropical,71,Biological Control - Predatory Insects,Early Spring,Carrot,29C,Medium,AgriSeeds Co.,Autumn,132km,97%
39,Clay,Organic,Arid,71,Chemical Control - Synthetic Pesticides,Winter,Wheat,21C,Rare,CropLife Solutions,Spring,131km,85%
40,Saline,Chemical,Arid,74,Chemical Control - Organic Pesticides,Late Summer,Corn,21C,Well-Done,GreenFields,Winter,129km,55%
41,Saline,Compost,Arid,78,Chemical Control - Synthetic Pesticides,Late Spring,Carrot,34C,Overdone,CropLife Solutions,Spring,130km,61%
42,Clay,Organic,Tropical,76,Integrated Pest Management,Early Spring,Corn,28C,Overdone,GreenFields,Autumn,132km,21%
43,Clay,Organic,Temperate,70,Integrated Pest Management,Autumn,Potato,34C,Medium,FarmGrow Inc.,Winter,130km,25%
44,Clay,Compost,Temperate,73,Chemical Control - Organic Pesticides,Early Summer,Lettuce,23C,Overdone,FarmGrow Inc.,Spring,132km,30%
45,Loamy,Chemical,Arid,70,Biological Control - Predatory Insects,Late Summer,Tomato,27C,Medium-Well,CropLife Solutions,Spring,132km,86%
46,Clay,Organic,Temperate,81,Chemical Control - Synthetic Pesticides,Late Spring,Wheat,28C,Well-Done,GreenFields,Winter,133km,50%
47,Sandy,Chemical,Arid,60,Chemical Control - Synthetic Pesticides,Late Spring,Carrot,26C,Overdone,FarmGrow Inc.,Summer,131km,45%
48,Sandy,Compost,Tropical,67,Chemical Control - Synthetic Pesticides,Early Spring,Carrot,29C,Well-Done,GreenFields,Summer,128km,90%
49,Saline,Chemical,Arid,78,Chemical Control - Organic Pesticides,Early Summer,Tomato,34C,Well-Done,GreenFields,Summer,133km,72%
50,Saline,Chemical,Tropical,66,Integrated Pest Management,Early Spring,Carrot,34C,Well-Done,FarmGrow Inc.,Winter,134km,98%
51,Loamy,Organic,Temperate,65,Integrated Pest Management,Autumn,Corn,20C,Rare,CropLife Solutions,Autumn,129km,81%
52,Loamy,Chemical,Arid,76,Chemical Control - Synthetic Pesticides,Early Spring,Tomato,29C,Rare,CropLife Solutions,Summer,129km,24%
53,Loamy,Chemical,Temperate,82,Biological Control - Predatory Insects,Autumn,Tomato,32C,Medium-Rare,AgriSeeds Co.,Spring,131km,80%
54,Loamy,Chemical,Temperate,65,Chemical Control - Organic Pesticides,Autumn,Lettuce,28C,Overdone,FarmGrow Inc.,Summer,134km,64%
55,Saline,Chemical,Tropical,78,Integrated Pest Management,Late Summer,Tomato,31C,Overdone,AgriSeeds Co.,Summer,133km,95%
