id,soil_type,fertilizer_type,climate,humidity_level,pest_disease_management,plant_time,crop_harvested,water_temperature,harvest_colour,seed_supplier,season,distance_to_retailer,harvest_yield
1,Loamy,Compost,Tropical,63,Chemical Control - Synthetic Pesticides,Late Spring,Lettuce,26C,Overdone,CropLife Solutions,Winter,131km,39%
2,Loamy,Compost,Temperate,72,Chemical Control - Organic Pesticides,Late Spring,Lettuce,22C,Rare,AgriSeeds Co.,Summer,128km,94%
3,Clay,Compost,Temperate,65,Integrated Pest Management,Winter,Wheat,30C,Rare,GreenFields,Winter,128km,80%
4,Loamy,Compost,Arid,67,Chemical Control - Organic Pesticides,Late Summer,Corn,20C,Well-Done,GreenFields,Spring,130km,56%
5,Clay,Chemical,Arid,62,Chemical Control - Organic Pesticides,Early Spring,Lettuce,20C,Medium-Rare,GreenFields,Autumn,133km,54%
6,Saline,Chemical,Temperate,74,Chemical Control - Organic Pesticides,Late Spring,Carrot,25C,Rare,CropLife Solutions,Winter,131km,34%
7,Loamy,Compost,Arid,73,Chemical Control - Organic Pesticides,Early Summer,Tomato,22C,Overdone,CropLife Solutions,Autumn,128km,44%
8,Loamy,Compost,Arid,64,Chemical Control - Synthetic Pesticides,Late Spring,Lettuce,32C,Well-Done,CropLife Solutions,Summer,131km,85%
9,Sandy,Compost,Temperate,83,Chemical Control - Synthetic Pesticides,Autumn,Wheat,24C,Medium,CropLife Solutions,Spring,131km,61%
10,Clay,Organic,Temperate,72,Chemical Control - Synthetic Pesticides,Winter,Corn,28C,Medium-Well,FarmGrow Inc.,Winter,129km,56%
11,Sandy,Chemical,Tropical,67,Integrated Pest Management,Winter,Corn,32C,Medium-Well,AgriSeeds Co.,Winter,128km,70%
12,Loamy,Organic,Arid,77,Integrated Pest Management,Late Spring,Potato,30C,Overdone,AgriSeeds Co.,Winter,134km,65%
13,Loamy,Compost,Arid,61,Chemical Control - Synthetic Pesticides,Early Summer,Wheat,31C,Medium-Rare,AgriSeeds Co.,Autumn,128km,88%
14,Loamy,Compost,Temperate,68,Chemical Control - Synthetic Pesticides,Autumn,Carrot,20C,Medium-Well,AgriSeeds Co.,Autumn,130km,94%
15,Sandy,Organic,Temperate,83,Integrated Pest Management,Late Spring,Wheat,34C,Medium,CropLife Solutions,Spring,134km,50%
16,Sandy,Organic,Arid,81,Chemical Control - Synthetic Pesticides,Early Summer,Potato,28C,Well-Done,FarmGrow Inc.,Winter,131km,65%
17,Sandy,Organic,Temperate,68,Integrated Pest Management,Winter,Lettuce,22C,Medium,CropLife Solutions,Summer,130km,37%
18,Sandy,Compost,Tropical,70,Chemical Control - Synthetic Pesticides,Late Summer,Wheat,21C,Overdone,CropLife Solutions,Winter,131km,47%
