id,soil_type,fertilizer_type,climate,humidity_level,pest_disease_management,plant_time,crop_harvested,water_temperature,harvest_colour,seed_supplier,season,distance_to_retailer,harvest_yield
1,Loamy,Chemical,Tropical,80,Biological Control - Predatory Insects,Winter,Wheat,22C,Medium,FarmGrow Inc.,Spring,129km,35%
2,Saline,Organic,Temperate,62,Chemical Control - Synthetic Pesticides,Autumn,Potato,27C,Medium,AgriSeeds Co.,Winter,133km,61%
3,Loamy,Chemical,Temperate,83,Integrated Pest Management,Autumn,Corn,28C,Medium-Rare,AgriSeeds Co.,Summer,132km,53%
4,Loamy,Chemical,Tropical,74,Chemical Control - Synthetic Pesticides,Early Spring,Carrot,23C,Medium-Rare,CropLife Solutions,Winter,132km,57%
5,Sandy,Compost,Temperate,73,Integrated Pest Management,Late Summer,Corn,28C,Medium-Well,FarmGrow Inc.,Winter,128km,60%
6,Saline,Compost,Tropical,64,Chemical Control - Organic Pesticides,Late Summer,Tomato,25C,Overdone,FarmGrow Inc.,Winter,132km,41%
7,Sandy,Chemical,Temperate,67,Chemical Control - Organic Pesticides,Late Spring,Carrot,21C,Overdone,CropLife Solutions,Summer,133km,100%
8,Saline,Chemical,Tropical,68,Chemical Control - Organic Pesticides,Autumn,Tomato,24C,Overdone,AgriSeeds Co.,Autumn,132km,92%
9,Saline,Compost,Tropical,75,Chemical Control - Synthetic Pesticides,Winter,Carrot,29C,Rare,CropLife Solutions,Summer,128km,74%
10,Saline,Organic,Temperate,82,Chemical Control - Synthetic Pesticides,Autumn,Corn,24C,Overdone,AgriSeeds Co.,Winter,132km,91%
11,Loamy,Chemical,Arid,63,Chemical Control - Synthetic Pesticides,Early Summer,Corn,21C,Well-Done,GreenFields,Summer,134km,39%
12,Saline,Organic,Arid,76,Chemical Control - Organic Pesticides,Autumn,Carrot,25C,Medium-Well,CropLife Solutions,Autumn,129km,30%
13,Clay,Chemical,Temperate,73,Chemical Control - Synthetic Pesticides,Early Summer,Wheat,33C,Rare,AgriSeeds Co.,Spring,128km,39%
14,Saline,Organic,Temperate,85,Chemical Control - Organic Pesticides,Autumn,Tomato,22C,Rare,GreenFields,Winter,131km,37%
15,Sandy,Chemical,Arid,73,Biological Control - Predatory Insects,Early Spring,Carrot,24C,Rare,CropLife Solutions,Winter,128km,42%
16,Clay,Chemical,Arid,80,Integrated Pest Management,Early Summer,Lettuce,33C,Rare,CropLife Solutions,Summer,129km,88%
17,Saline,Organic,Tropical,83,Integrated Pest Management,Winter,Corn,21C,Medium-Rare,GreenFields,Autumn,129km,75%
18,Saline,Organic,Tropical,73,Chemical Control - Synthetic Pesticides,Early Summer,Corn,23C,Rare,FarmGrow Inc.,Summer,128km,88%
19,Saline,Compost,Arid,81,Integrated Pest Management,Early Summer,Potato,22C,Rare,AgriSeeds Co.,Winter,134km,21%
20,Clay,Organic,Temperate,71,Chemical Control - Organic Pesticides,Early Spring,Potato,24C,Overdone,CropLife Solutions,Winter,128km,81%
21,Sandy,Compost,Tropical,64,Biological Control - Predatory Insects,Winter,Corn,29C,Well-Done,CropLife Solutions,Winter,128km,40%
22,Clay,Compost,Temperate,77,Biological Control - Predatory Insects,Early Summer,Wheat,33C,Medium-Well,FarmGrow Inc.,Winter,132km,50%
23,Clay,Chemical,Arid,65,Chemical Control - Organic Pesticides,Early Summer,Lettuce,22C,Rare,FarmGrow Inc.,Autumn,130km,56%
24,Clay,Chemical,Temperate,79,Chemical Control - Organic Pesticides,Early Summer,Potato,22C,Rare,CropLife Solutions,Winter,130km,37%
25,Sandy,Organic,Temperate,71,Chemical Control - Synthetic Pesticides,Late Spring,Tomato,20C,Well-Done,GreenFields,Summer,133km,86%
26,Saline,Compost,Arid,81,Chemical Control - Organic Pesticides,Early Summer,Wheat,33C,Medium,GreenFields,Summer,133km,79%
27,Loamy,Compost,Tropical,77,Chemical Control - Organic Pesticides,Late Summer,Wheat,22C,Medium-Rare,FarmGrow Inc.,Summer,129km,75%
28,Saline,Chemical,Tropical,68,Integrated Pest Management,Late Summer,Tomato,29C,Well-Done,GreenFields,Winter,129km,77%
29,Sandy,Compost,Temperate,67,Integrated Pest Management,Late Spring,Potato,21C,Medium-Well,GreenFields,Winter,129km,20%
30,Saline,Organic,Arid,70,Integrated Pest Management,Autumn,Carrot,22C,Medium-Rare,GreenFields,Summer,133km,24%
31,Loamy,Organic,Temperate,75,Biological Control - Predatory Insects,Late Spring,Corn,21C,Medium-Well,AgriSeeds Co.,Winter,131km,75%
32,Clay,Compost,Tropical,78,Chemical Control - Synthetic Pesticides,Winter,Wheat,24C,Rare,CropLife Solutions,Spring,130km,68%
