id,soil_type,fertilizer_type,climate,humidity_level,pest_disease_management,plant_time,crop_harvested,water_temperature,harvest_colour,seed_supplier,season,distance_to_retailer,harvest_yield
1,Clay,Chemical,Arid,73,Integrated Pest Management,Late Summer,Lettuce,34C,Medium,GreenFields,Autumn,133km,37%
2,Loamy,Chemical,Temperate,71,Biological Control - Predatory Insects,Late Spring,Carrot,28C,Medium,AgriSeeds Co.,Winter,133km,95%
3,Loamy,Chemical,Tropical,71,Chemical Control - Synthetic Pesticides,Late Summer,Wheat,21C,Medium-Rare,GreenFields,Autumn,131km,72%
4,Loamy,Compost,Tropical,83,Chemical Control - Organic Pesticides,Early Spring,Potato,34C,Rare,GreenFields,Winter,129km,81%
5,Loamy,Compost,Tropical,83,Chemical Control - Organic Pesticides,Late Summer,Tomato,28C,Medium-Well,GreenFields,Autumn,134km,79%
6,Loamy,Compost,Temperate,68,Chemical Control - Organic Pesticides,Early Summer,Tomato,26C,Overdone,GreenFields,Autumn,130km,36%
7,Loamy,Organic,Tropical,84,Chemical Control - Synthetic Pesticides,Early Spring,Corn,34C,Medium-Well,FarmGrow Inc.,Autumn,134km,96%
8,Loamy,Organic,Temperate,80,Biological Control - Predatory Insects,Early Spring,Potato,27C,Rare,AgriSeeds Co.,Winter,132km,22%
9,Sandy,Compost,Tropical,73,Integrated Pest Management,Early Summer,Carrot,27C,Medium-Rare,AgriSeeds Co.,Winter,132km,59%
10,Saline,Organic,Tropical,80,Integrated Pest Management,Winter,Lettuce,32C,Overdone,CropLife Solutions,Autumn,130km,89%
11,Loamy,Compost,Temperate,75,Chemical Control - Organic Pesticides,Winter,Lettuce,31C,Medium,GreenFields,Summer,132km,68%
12,Sandy,Organic,Tropical,67,Biological Control - Predatory Insects,Late Spring,Lettuce,28C,Medium-Rare,GreenFields,Autumn,134km,87%
13,Loamy,Organic,Tropical,71,Biological Control - Predatory Insects,Late Summer,Potato,32C,Rare,CropLife Solutions,Summer,132km,61%
14,Sandy,Chemical,Arid,80,Chemical Control - Organic Pesticides,Late Summer,Corn,22C,Medium-Rare,FarmGrow Inc.,Summer,128km,78%
15,Sandy,Chemical,Temperate,66,Chemical Control - Organic Pesticides,Late Spring,Tomato,28C,Overdone,GreenFields,Spring,128km,62%
16,Loamy,Compost,Temperate,66,Biological Control - Predatory Insects,Late Summer,Corn,30C,Well-Done,CropLife Solutions,Spring,128km,32%
17,Loamy,Organic,Arid,84,Integrated Pest Management,Late Summer,Potato,31C,Rare,GreenFields,Summer,129km,23%
18,Loamy,Chemical,Temperate,75,Biological Control - Predatory Insects,Early Spring,Carrot,27C,Medium-Rare,AgriSeeds Co.,Autumn,128km,69%
19,Loamy,Chemical,Arid,73,Integrated Pest Management,Late Spring,Corn,32C,Medium-Rare,FarmGrow Inc.,Spring,134km,46%
20,Clay,Chemical,Temperate,84,Biological Control - Predatory Insects,Early Summer,Lettuce,34C,Overdone,GreenFields,Spring,129km,42%
21,Clay,Compost,Arid,64,Chemical Control - Synthetic Pesticides,Early Summer,Wheat,34C,Rare,GreenFields,Autumn,131km,25%
22,Loamy,Organic,Tropical,72,Biological Control - Predatory Insects,Late Summer,Corn,27C,Overdone,FarmGrow Inc.,Summer,132km,30%
