id,soil_type,fertilizer_type,climate,humidity_level,pest_disease_management,plant_time,crop_harvested,water_temperature,harvest_colour,seed_supplier,season,distance_to_retailer,harvest_yield
1,Saline,Chemical,Temperate,71,Biological Control - Predatory Insects,Autumn,Lettuce,21C,Rare,GreenFields,Autumn,130km,73%
2,Clay,Chemical,Tropical,75,Chemical Control - Organic Pesticides,Late Summer,Wheat,24C,Medium,AgriSeeds Co.,Spring,131km,80%
3,Sandy,Organic,Arid,60,Chemical Control - Synthetic Pesticides,Late Spring,Wheat,21C,Medium-Rare,GreenFields,Summer,132km,58%
4,Clay,Compost,Tropical,62,Biological Control - Predatory Insects,Late Summer,Wheat,33C,Medium-Well,AgriSeeds Co.,Spring,133km,35%
5,Clay,Chemical,Arid,62,Chemical Control - Synthetic Pesticides,Late Spring,Lettuce,32C,Medium,AgriSeeds Co.,Autumn,134km,75%
6,Loamy,Organic,Arid,69,Chemical Control - Organic Pesticides,Autumn,Wheat,33C,Medium-Well,FarmGrow Inc.,Summer,133km,39%
7,Sandy,Chemical,Tropical,68,Chemical Control - Synthetic Pesticides,Early Summer,Potato,29C,Overdone,CropLife Solutions,Autumn,129km,92%
8,Clay,Chemical,Tropical,75,Chemical Control - Synthetic Pesticides,Late Spring,Lettuce,27C,Medium,FarmGrow Inc.,Summer,132km,48%
9,Sandy,Compost,Temperate,65,Integrated Pest Management,Late Summer,Potato,29C,Well-Done,FarmGrow Inc.,Autumn,131km,78%
10,Saline,Organic,Temperate,63,Chemical Control - Organic Pesticides,Early Spring,Lettuce,21C,Medium-Well,FarmGrow Inc.,Autumn,129km,95%
11,Sandy,Compost,Arid,71,Biological Control - Predatory Insects,Late Summer,Potato,29C,Medium-Rare,CropLife Solutions,Autumn,130km,45%
12,Saline,Chemical,Arid,75,Biological Control - Predatory Insects,Autumn,Carrot,33C,Rare,FarmGrow Inc.,Spring,129km,100%
13,Saline,Chemical,Tropical,85,Chemical Control - Synthetic Pesticides,Late Spring,Carrot,26C,Medium,GreenFields,Summer,129km,26%
14,Sandy,Compost,Tropical,67,Chemical Control - Synthetic Pesticides,Early Spring,Potato,22C,Well-Done,AgriSeeds Co.,Winter,130km,89%
15,Loamy,Organic,Arid,76,Chemical Control - Organic Pesticides,Early Summer,Lettuce,26C,Medium-Well,CropLife Solutions,Spring,128km,24%
16,Sandy,Chemical,Arid,71,Chemical Control - Synthetic Pesticides,Early Spring,Corn,29C,Medium-Well,CropLife Solutions,Summer,130km,23%
17,Loamy,Compost,Temperate,81,Chemical Control - Synthetic Pesticides,Winter,Potato,28C,Medium-Rare,AgriSeeds Co.,Winter,132km,71%
18,Loamy,Chemical,Arid,61,Chemical Control - Synthetic Pesticides,Winter,Lettuce,29C,Medium,FarmGrow Inc.,Summer,128km,21%
19,Sandy,Chemical,Arid,74,Chemical Control - Organic Pesticides,Winter,Corn,33C,Rare,CropLife Solutions,Spring,133km,23%
20,Saline,Chemical,Arid,77,Chemical Control - Organic Pesticides,Late Summer,Lettuce,24C,Rare,FarmGrow Inc.,Autumn,134km,56%
21,Loamy,Chemical,Arid,79,Chemical Control - Synthetic Pesticides,Early Summer,Corn,29C,Well-Done,CropLife Solutions,Spring,129km,89%
22,Clay,Compost,Temperate,85,Chemical Control - Organic Pesticides,Late Summer,Corn,22C,Medium,CropLife Solutions,Autumn,131km,98%
23,Saline,Compost,Temperate,68,Chemical Control - Synthetic Pesticides,Late Spring,Corn,23C,Medium,AgriSeeds Co.,Spring,132km,83%
24,Sandy,Compost,Arid,85,Biological Control - Predatory Insects,Early Summer,Potato,30C,Medium-Rare,FarmGrow Inc.,Summer,128km,67%
